	frequency
handle	41
sunflower	36
successfully	39
stock	36
philippines	38
airlines	56
features	38
equipped	37
expand	35
onshore	37
bp	42
free	52
best	38
ntpc	63
customers	69
commenced	44
indonesia	61
america	38
cpv	43
tax	49
efficient	35
launch	38
flights	74
balai	37
peak	39
lumut	37
ormat	132
supplied	40
results	47
ppa	38
scatec	57
operated	42
net	143
network	43
fuelcell	39
ceo	102
county	62
hebei	39
aviation	53
earnings	51
officially	39
respectively	44
gross	41
generated	57
represents	38
reliable	45
product	36
ha	38
changi	48
performance	50
team	51
pt	62
jordan	37
revenues	75
kong	43
attributable	60
park	39
experience	56
adjusted	118
ttc	58
owns	41
hong	52
flight	64
homes	37
equity	48
growing	54
segment	38
advanced	40
maintenance	47
strong	40
formosa	40
csp	54
achieved	47
opened	43
leading	52
delivering	39
proud	53
golar	106
seletar	49
muara	48
community	61
biogas	46
release	43
freeport	43
georgia	39
liquefaction	41
operates	41
efficiency	47
laboh	44
statements	66
integrated	39
wheelabrator	42
output	36
reached	37
website	37
technologies	73
duke	109
supreme	40
benefits	43
debt	46
mcdermott	39
summit	63
toll	41
fourth	38
successful	49
pacific	35
ended	53
compared	61
waste	68
purchase	79
delhi	50
western	39
cycle	43
milestone	41
stretch	38
online	62
complex	58
independent	36
cameron	37
income	112
procurement	42
jakarta	40
officer	41
portfolio	62
tower	46
pltp	38
fsru	41
aircraft	47
annually	65
partnership	45
together	42
carbon	59
operate	71
heat	52
cash	59
diluted	38
inaugurated	43
engie	66
ebitda	88
provides	35
households	53
transition	38
cebu	78
deliver	71
