frequency	vocabulary
105	hydroelectric
96	tanzania
65	rampal
64	venezuela
63	lower
61	access
61	matarbari
59	implementation
55	meters
55	large
54	fish
54	corbetti
52	reservoir
51	length
51	istanbul
50	level
50	concrete
48	downstream
48	bazar
47	sumitomo
47	lines
47	mekong
46	cooperation
46	studies
45	valley
44	route
44	irrigation
44	pressure
44	ethiopian
44	areas
44	bhutan
43	generator
43	produce
43	feasibility
42	chittagong
42	tunnels
42	points
41	civil
41	sundarbans
41	mrt
40	wärtsilä
40	connected
40	social
39	diamer
39	board
38	zone
38	united
38	small
38	implemented
37	phases
37	payra
36	mega
36	life
35	making
35	underground
35	tarbela
35	asian
35	gorge
34	omo
34	bhel
34	acres
33	therefore
33	crisis
32	tribes
32	carried
32	rooppur
32	marco
32	various
32	image
32	rights
32	pakhtunkhwa
32	barapukuria
32	boiler
32	angola
32	especially
31	right
31	village
31	rivers
31	cheli
31	van
31	division
30	scale
30	powerhouse
30	ovit
30	khyber
30	barakah
29	associated
29	bhasha
29	ceremony
29	metres
29	blackout
29	stage
29	height
29	rock
28	farc
28	cox
28	upstream
28	engineer
28	khan
28	flow
